TAIL_NUMBER,PASSENGER_CAPACITY,FUEL_COST/MILE,BASE_COST/FLIGHT,TOTAL_FLIGHTS,TOTAL_MAX_PASSANGERS,MILES_TRAVELED,TOTAL_FUEL_COST,TOTAL_FEES,TOTAL_GATE_COST,TOTAL_COST,COST/PASSANGER
N961UW,524,36.0,9282.83,931,487844,376456,13552416.0,-24344.250000000015,2935913.0099999625,16463984.759999963,33.74846213133699
N963UW,368,31.2,6904.66,1011,372048,324912,10137254.4,-4129.619999999999,2979643.239999982,13112768.019999983,35.24482867801999
N947UW,368,33.1,7691.3,989,363952,360876,11944995.6,8534.59,2933604.3399999677,14887134.529999968,40.90411518551888
N712US,524,35.8,9651.25,751,393524,416602,14914351.6,21849.23000000001,2112786.2399999937,17048987.069999993,43.32388131346498
N952UW,368,31.8,7406.9,868,319424,356350,11331930.0,6615.570000000002,2553245.16999997,13891790.73999997,43.49012829342808
N954UW,368,30.7,7095.66,823,302864,354264,10875904.799999999,16033.890000000003,2313460.9899999746,13205399.679999974,43.601747583073504
N738US,524,37.1,9764.95,716,375184,389539,14451896.9,12161.800000000003,1997178.5699999963,16461237.269999998,43.87510466864258
N741UW,524,36.6,9621.81,707,370468,400100,14643660.0,13028.410000000002,1988220.3699999938,16644908.779999994,44.92941031344136
N700UW,524,37.8,9186.1,754,395096,426712,16129713.6,31395.909999999996,2142011.53999999,18303121.04999999,46.32575639844491
N740UW,524,38.8,9172.69,734,384616,432414,16777663.2,19659.43,2030285.6799999916,18827608.30999999,48.951703283274725
N119US,524,38.4,9346.33,684,358416,437262,16790860.8,26483.949999999997,2000731.3999999943,18818076.149999995,52.50344892527118
N111US,524,35.7,9447.48,577,302348,398948,14242443.600000001,42933.26999999997,1756454.0999999943,16041830.969999995,53.057506482596196
N123UW,524,35.4,9649.35,619,324356,446434,15803763.6,40174.119999999995,1862443.9299999888,17706381.649999987,54.589345194785935
N586AA,524,35.5,10467.81,1392,729408,1019466,36191043.0,102336.15,5009289.649999966,41302668.79999997,56.62491883829073
N454AA,524,35.3,10023.6,882,462168,642132,22667259.599999998,24331.870000000003,3483832.229999992,26175423.69999999,56.636166285852745
N550AA,524,35.4,9541.3,1431,749844,1047272,37073428.8,109025.37999999999,5293150.379999975,42475604.55999997,56.64592176506043
N486AA,524,35.4,9428.5,1331,697444,977658,34609093.199999996,96806.33000000002,4866846.78999998,39572746.31999997,56.73967561553325
N702UW,368,33.9,7412.84,614,225952,327341,11096859.9,19563.87,1733812.5199999954,12850236.289999995,56.87153151996882
N767UW,524,35.6,10158.07,774,405576,587176,20903465.6,15539.610000000002,2353212.1800000025,23272217.390000004,57.38065711481943
N556AA,524,36.1,9375.99,491,257284,355308,12826618.8,48312.41000000002,1938266.0000000035,14813197.210000005,57.575275609831955
N476AA,524,37.0,10429.65,346,181304,247102,9142774.0,29014.199999999997,1356253.7500000014,10528041.950000001,58.06844829678331
N711UW,368,33.9,7637.68,775,285200,425706,14431433.399999999,23813.520000000008,2114381.649999995,16569628.569999993,58.09827689340811
N4XXAA,524,36.7,9398.31,1297,679628,950398,34879606.6,116391.07000000005,4625013.139999974,39621010.80999997,58.29808484935872
N750UW,524,38.8,9619.09,759,397716,539826,20945248.799999997,11214.699999999999,2342099.099999998,23298562.599999994,58.58090345874945
N275AY,368,31.3,7473.87,62,22816,36122,1130618.6,8729.960000000001,199783.7400000001,1339132.3000000003,58.69268495792428
N710UW,368,34.1,7799.0,761,280048,418511,14271225.100000001,62619.19999999998,2161449.4199999925,16495293.719999993,58.901665857281586
N488AA,524,37.6,9791.0,1383,724692,1002128,37680012.800000004,178731.31999999998,4932282.629999969,42791026.74999997,59.04719073758227
N494AA,524,37.8,9191.35,1412,739888,1021011,38594215.8,167240.24000000008,5079488.7999999765,43840944.839999974,59.25348814955773
