TAIL_NUMBER,PASSENGER_CAPACITY,FUEL_COST/MILE,BASE_COST/FLIGHT
N407AS,200,30.7,4446.11
N3KUAA,524,38.3,10384.99
N171US,368,33.6,7150.24
N3HYAA,5,0.27,463.34
N527AS,85,22.9,2178.64
N3730B,85,22.7,2313.05
N635NK,368,30.5,7034.53
N584UW,85,22.2,2409.66
N3LAAA,85,21.7,2373.45
N826DN,85,21.9,2284.53
N958DN,368,34.0,7060.8
N853AA,368,34.1,7467.53
N547US,368,33.7,7705.59
N3751B,524,35.8,10401.32
N651DL,200,30.3,4506.87
N309AS,85,22.4,2309.39
N3743H,524,38.4,10023.86
N78448,85,21.5,2387.58
N413AS,85,23.1,2188.42
N806DN,85,23.3,2379.82
N525NK,200,29.2,4468.57
N3GXAA,368,31.2,7736.57
N632NK,21,15.5,3408.3
N3CTAA,85,21.3,2405.06
N671DN,85,21.1,2199.96
N76517,5,0.26,494.78
N457AS,368,31.0,7896.74
N528NK,85,22.3,2145.41
N571UW,21,15.4,3377.22
N3HRAA,200,28.5,4364.39
N629NK,368,30.6,7753.3
N3CGAA,85,23.1,2250.36
N431AS,21,15.2,3573.64
N320US,524,38.5,9463.49
N514NK,85,22.7,2356.12
N389HA,368,32.9,7371.77
N804AW,200,28.5,4280.2
N76519,85,21.4,2194.8
N464AS,200,29.9,4362.11
N607JB,85,21.5,2204.47
N633NK,368,33.6,7780.95
N606NK,85,22.8,2378.96
N3BDAA,85,21.7,2272.25
N514AS,524,38.2,10042.62
N630NK,5,0.27,502.42
N597JB,85,22.2,2190.25
N172US,85,22.9,2384.18
N303AS,200,30.1,4146.15
N653JB,85,21.6,2336.51
N37293,524,37.8,9424.84
N239JB,21,16.4,3304.05
N627JB,85,21.4,2394.89
N307JB,21,16.8,3647.33
N621JB,200,30.1,4537.91
N317JB,524,39.4,9337.1
N646JB,368,33.3,7831.67
N197UW,85,23.5,2176.61
N607AS,200,31.0,4148.1
N492HA,85,21.9,2378.07
N701BR,200,31.1,4032.51
N476HA,85,22.0,2293.08
N423AS,85,21.4,2317.62
N484HA,85,21.9,2222.67
N30401,85,22.8,2165.62
N3CXAA,524,37.3,10096.62
N616NK,524,38.3,9645.88
N8982A,5,0.27,450.32
N445SW,524,37.3,9923.1
N746SK,524,36.1,9745.72
N676AW,5,0.27,493.61
N3ASAA,368,33.2,7027.93
N3ETAA,524,36.4,10414.74
N12142,368,32.1,7484.05
N174US,5,0.26,502.1
N3KVAA,85,21.4,2275.67
N355NW,524,35.4,9193.13
N26545,85,23.5,2235.07
N882AS,200,28.4,4173.96
N824AS,85,22.9,2186.48
N432SW,21,15.3,3200.39
N477HA,524,39.4,10232.1
N720EV,85,23.4,2157.44
N660MQ,21,16.5,3518.68
N79521,368,30.8,7307.51
N37281,85,23.5,2187.77
N36476,85,22.1,2194.91
N4XKAA,85,21.4,2123.15
N832AS,200,31.1,4345.48
N918FR,85,23.5,2152.44
N509NK,368,31.5,7715.87
N583SW,85,21.3,2170.03
N593ML,368,33.6,7144.58
N77066,368,33.9,7533.33
N66837,21,15.7,3474.47
N17245,85,23.1,2407.79
N358JB,85,21.7,2268.42
N190JB,368,32.0,7824.8
N324JB,368,32.1,7548.26
N12967,85,22.5,2155.24
N849AS,85,22.5,2146.86
N132EV,85,21.9,2128.21
N925SW,85,22.0,2198.65
N69813,200,29.5,4069.25
N719SK,200,30.1,4526.8
N292JB,524,36.8,10269.47
N375JB,368,33.6,7357.69
N3736C,5,0.25,515.08
N910DN,85,23.1,2341.87
N389DA,368,33.9,7265.34
N14998,21,16.4,3180.82
N11150,21,16.3,3193.39
N962SW,85,21.9,2367.58
N776SK,200,31.3,4229.44
N926SW,85,22.8,2107.31
N905FR,85,22.1,2403.53
N554CA,85,21.1,2200.92
N69810,368,32.5,7835.95
N65832,368,31.4,7261.25
N78509,368,33.8,6888.1
N4YNAA,200,29.9,4390.98
N3LLAA,21,16.8,3426.61
N623JB,85,23.2,2100.74
N606JB,85,21.2,2403.28
N794JB,524,38.0,9586.69
N377DA,85,22.6,2358.91
N29917,368,31.6,7615.32
N218FR,368,30.5,7766.63
N933FR,368,34.0,7575.23
N932MQ,85,23.1,2141.75
N435SW,200,29.1,4003.66
N934SW,85,21.9,2215.48
N560SW,368,30.5,7440.72
N485HA,85,23.0,2386.05
N337JB,21,15.5,3514.19
N439UA,85,22.0,2396.16
N650AW,85,23.0,2358.05
N548UA,368,33.7,7370.78
N808UA,368,31.3,7106.45
N37290,85,23.4,2133.56
N660AW,5,0.26,512.69
N651AW,200,29.0,3993.97
N573AA,200,31.0,4050.65
N3BAAA,85,22.3,2130.2
N966DL,524,37.5,9803.01
N231JB,85,21.0,2124.79
N13133,21,15.1,3236.96
N835AS,524,38.1,9493.7
N925MQ,85,22.6,2320.15
